id,alpha,delta,diameter,majAxis,minAxis,axisRatio,posAngle,Other names,,Type,Source,
LDN 721,292.8125,16.69,262,262,262,1,,[DB2002b] G52.27-0.94,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 386,273.19583,-11.98611,260,260,260,1,,[DB2002b] G17.86+2.95,,DARK_NEBULA,Dutra and Bica (2002b),
Lupus III,242.375,-39.09,260,260,260,1,,[DB2002b] G339.67+9.26,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
LDN 303,271.98333,-18.99194,255,255,255,1,,[DB2002b] G11.16+0.59,,DARK_NEBULA,Dutra and Bica (2002b),
FeSt 1-359,255.03333,-46.18889,250,250,250,1,,[DB2002b] G340.72-2.37,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 1741,260.54583,-30.0475,250,250,250,1,,[DB2002b] G356.3+3.68,,DARK_NEBULA,Dutra and Bica (2002b),
IREC 25,260.40833,-3.78667,247,247,247,1,,[DB2002b] G18.78+18,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
LDN 559,278.14167,-0.96194,247,247,247,1,,[DB2002b] G29.92+3.75,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 693,287.57083,14.49917,247,247,247,1,,[DB2002b] G47.96+2.49,,DARK_NEBULA,Dutra and Bica (2002b),
IREC 272,75.61667,14.98722,244,244,244,1,,[DB2002b] G186.24-16,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
IREC 390,115.90833,-49.15833,242,242,242,1,,[DB2002b] G262.23-12.33,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DIR 014+45,235.20417,6.79111,240,240,240,1,,[DB2002b] G14+45,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DIR 029-43,321.5375,-20.83111,240,240,240,1,,[DB2002b] G29-43,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DIR 061+22,273.525,33.99222,240,240,240,1,,[DB2002b] G61+22,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
MBM 53,330.82917,24.2425,240,240,240,1,,[DB2002b] G80.77-24.55,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
Draco DN Complex,251.4125,60.71306,240,240,240,1,,[DB2002b] G90.62+38.67,,DARK_NEBULA_COMPLEX,Dutra and Bica (2002b),
DIR 105-31,355.225,29.40361,240,240,240,1,,[DB2002b] G105-31,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
MBM 1a,1.28333,23.86083,240,240,240,1,,[DB2002b] G109.5-37.8,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
DIR 133-64,17.25417,-1.4725,240,240,240,1,,[DB2002b] G133-64,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DBDN 152.9-31.2,40.99583,25.04139,240,240,240,1,,[DB2002b] G152.9-31.2,,DARK_NEBULA,Dutra and Bica (2002b),
[UT87] 4,53.73333,22.66611,240,240,240,1,,[DB2002b] G165.34-26.44,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 1630,86.38333,-0.98083,240,240,240,1,,[DB2002b] G206.15-15.08,,DARK_NEBULA,Dutra and Bica (2002b),
DIR 266+53,171.61667,-3.66806,240,240,240,1,,[DB2002b] G266+53,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DIR 282-41,58.62917,-67.89667,240,240,240,1,,[DB2002b] G282-41,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DBDN 359.7+43.2,230.45833,-2.47417,240,240,240,1,,[DB2002b] G359.7+43.22,,DARK_NEBULA,Dutra and Bica (2002b),
Northern Coalsack,309.19167,42.175,238,238,238,1,,[DB2002b] G81.31+0.78,,DARK_NEBULA,Dutra and Bica (2002b),
DBDN 289.8-30.7,82.48333,-77.97194,230,230,230,1,,[DB2002b] G289.8-30.7,,DARK_NEBULA,Dutra and Bica (2002b),
IREC 42,259.65417,5.94917,226,226,226,1,,[DB2002b] G27.53+23.33,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
LDN 150,269.26667,-25.00528,225,225,225,1,,[DB2002b] G4.68-0.19,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 572,277.6375,0.03528,225,225,225,1,,[DB2002b] G30.58+4.66,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 716,290.80833,17.0975,225,225,225,1,,[DB2002b] G51.72+0.94,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 1238,353.07917,59.77611,225,225,225,1,,[DB2002b] G113.12-1.58,,DARK_NEBULA,Dutra and Bica (2002b),
IREC 171,33.00417,76.44833,225,225,225,1,,[DB2002b] G127.71+14.33,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
IREC 96,257.14583,47.865,221,221,221,1,,[DB2002b] G74.03+36.67,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
HMST 266.4-0.1C,134.43333,-45.71083,220,220,220,1,,[DB2002b] G266.42-0.05,,DARK_NEBULA,Dutra and Bica (2002b),
Chamaeleon III,190.5,-80.36667,220,220,220,1,,[DB2002b] G302.56-17.5,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
HMST 314.0-22.3C,259.72083,-78.88278,220,220,220,1,,[DB2002b] G313.98-22.33,,DARK_NEBULA,Dutra and Bica (2002b),
HMST 332.4-3.3C,247.78333,-53.06556,220,220,220,1,,[DB2002b] G332.44-3.27,,DARK_NEBULA,Dutra and Bica (2002b),
IREC 149,327.5625,76.55111,217,217,217,1,,[DB2002b] G112.96+17.33,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
FeSt 1-51,127.6375,-42.6025,216,216,216,1,,[DB2002b] G260.97-1.96,,DARK_NEBULA,Dutra and Bica (2002b),
IREC 203,101.54583,70.36389,214,214,214,1,,[DB2002b] G144.69+25,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
FeSt 1-430,268.14583,-33.06083,214,214,214,1,,[DB2002b] G357.23-3.4,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 1769,265.55,-30.02333,212,212,212,1,,[DB2002b] G358.68+0.06,,DARK_NEBULA,Dutra and Bica (2002b),
DIR 025+35,248.15,9.26139,210,210,210,1,,[DB2002b] G25+35,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DIR 087+29,271.775,57.87139,210,210,210,1,,[DB2002b] G86.5+28.5,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
HSVMT 19,83.1,65.21917,210,210,210,1,,[DB2002b] G146.34+17.21,,DARK_NEBULA,Dutra and Bica (2002b),
CODIR 155.1-34,41.22083,21.69,210,210,210,1,,[DB2002b] G155.1-34,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
DIR 179-49,45.84583,-1.04333,210,210,210,1,,[DB2002b] G179-49,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
3C105.0 Direction Cloud,61.88333,3.65,210,210,210,1,,[DB2002b] G187.7-33.6,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
DBDN 191.2-38.4,59.59583,-1.43139,210,210,210,1,,[DB2002b] G191.2-38.4,,DARK_NEBULA,Dutra and Bica (2002b),
DIR 289-53,30.91667,-62.13083,210,210,210,1,,[DB2002b] G289-53,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
LDN 1373,39.45417,61.21639,208,208,208,1,,[DB2002b] G135.38+0.94,,DARK_NEBULA,Dutra and Bica (2002b),
IREC 278,117.76667,29.25833,208,208,208,1,,[DB2002b] G191.4+25,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DIR 077-37,336.52083,12.4425,200,200,200,1,,[DB2002b] G76.5-37,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
CODIR 186-32,62.41667,5.61639,200,200,200,1,,[DB2002b] G186.2-32,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
BDN 352.97+16.95,246.50417,-24.44583,200,200,200,1,,[DB2002b] G352.97+16.95,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 1107,329.1875,54.48833,199,199,199,1,,[DB2002b] G99.29-0.16,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 1306,15.77917,62.26833,199,199,199,1,,[DB2002b] G124.29-0.57,,DARK_NEBULA,Dutra and Bica (2002b),
DBDN 43.7-23.6,308.62083,-1.72139,195,195,195,1,,[DB2002b] G43.71-23.6,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 405,275.69583,-11.47389,194,194,194,1,,[DB2002b] G19.47+1.03,,DARK_NEBULA,Dutra and Bica (2002b),
IREC 254,94.7,41.55278,193,193,193,1,,[DB2002b] G172.16+12,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DBDN 290.4-44.9,38.85833,-69.52528,193,193,193,1,,[DB2002b] G290.41-44.99,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 246,266.2375,-19.52,190,190,190,1,,[DB2002b] G7.98+5.02,,DARK_NEBULA,Dutra and Bica (2002b),
DIR 025+41,242.675,11.91528,190,190,190,1,,[DB2002b] G25+41,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
LDN 590,286.65417,-3.005,190,190,190,1,,[DB2002b] G31.98-4.75,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 818,304.275,26.15556,190,190,190,1,,[DB2002b] G65.89-5.2,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 1029,315.36667,54.19722,190,190,190,1,,[DB2002b] G93.24+5.16,,DARK_NEBULA,Dutra and Bica (2002b),
IREC 165,181.05417,86.55306,190,190,190,1,,[DB2002b] G123.75+30.5,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
MBM 12,44.20833,19.53417,190,190,190,1,,[DB2002b] G159.35-34.32,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
DIR 280-55,37.45833,-57.52778,190,190,190,1,,[DB2002b] G280-55,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
Carina DN Complex,160.25,-59.2,190,190,190,1,,[DB2002b] G286.91-0.45,,DARK_NEBULA_COMPLEX,Dutra and Bica (2002b),
DCld 303.8+1.3,194.7125,-61.54806,190,190,190,1,,[DB2002b] G303.81+1.31,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 1677,253.30417,-32.08167,190,190,190,1,,[DB2002b] G350.95+7.45,,DARK_NEBULA,Dutra and Bica (2002b),
IREC 86,286.7875,32.12028,188,188,188,1,,[DB2002b] G63.53+11,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
IREC 116,258.90417,61.25083,188,188,188,1,,[DB2002b] G90.48+35,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
LDN 1459,62.09167,39.63194,187,187,187,1,,[DB2002b] G159.13-9.02,,DARK_NEBULA,Dutra and Bica (2002b),
IREC 293,110.74583,13.46639,187,187,187,1,,[DB2002b] G204.29+13,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
IREC 313,99.425,-5.75778,187,187,187,1,,[DB2002b] G216.51-5.67,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
IREC 81,267.0125,34.62972,181,181,181,1,,[DB2002b] G59.93+27.33,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
Pipe Bowl,263.17917,-25.6,180,180,180,1,,[DB2002b] G1.31+4.2,,DARK_NEBULA,Dutra and Bica (2002b),
Corona Australis-East DN Complex,295.975,-35.79694,180,180,180,1,,[DB2002b] G4-25.5,,DARK_NEBULA_COMPLEX,Dutra and Bica (2002b),
IREC 3,238.12083,-3.52694,180,180,180,1,,[DB2002b] G5.05+36.67,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DIR 013+40,238.95417,3.35083,180,180,180,1,,[DB2002b] G12.8+40,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DIR 034+26,259.80417,12.40389,180,180,180,1,,[DB2002b] G34+26,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DIR 044+28,261.40417,21.40306,180,180,180,1,,[DB2002b] G44+28,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DIR 071-43,337.1875,5.53944,180,180,180,1,,[DB2002b] G71-42.5,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
MBM 54,348.02083,19.48861,180,180,180,1,,[DB2002b] G92.97-37.54,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
DIR 117-44,7.98333,18.62778,180,180,180,1,,[DB2002b] G116.5-44,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
CODIR 144.0-51,26.12917,9.68778,180,180,180,1,,[DB2002b] G144-51,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
MBM 32,143.19583,65.86194,180,180,180,1,,[DB2002b] G147.2+40.67,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
DIR 152-47,32.8375,11.81222,180,180,180,1,,[DB2002b] G152-46.5,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
3C75.0 Direction Cloud,43.04583,5.7925,180,180,180,1,,[DB2002b] G169-46,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
MBM 16,50.10417,10.67972,180,180,180,1,,[DB2002b] G171.68-37.71,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
DIR 172-42,47.67917,7.73333,180,180,180,1,,[DB2002b] G172-41.5,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
IREC 257,179.67083,35.47333,180,180,180,1,,[DB2002b] G173.11+76,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
MT 1 Cloud,102.02917,-3.86917,180,180,180,1,,[DB2002b] G216-2.5,,DARK_NEBULA,Dutra and Bica (2002b),
IRC+10216,147,13.27667,180,180,180,1,,[DB2002b] G221.46+45.07,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
IREC 351,89.45417,-33.26333,180,180,180,1,,[DB2002b] G239.1-25,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DIR 265-31,87.14167,-56.77278,180,180,180,1,,[DB2002b] G265-30.9,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DIR 288+32,177.89583,-29.07194,180,180,180,1,,[DB2002b] G287.5+32,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DIR 292-37,53.24583,-76.48167,180,180,180,1,,[DB2002b] G292-37,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
[KM86] 295.3-13.0,164.54167,-74.16889,180,180,180,1,,[DB2002b] G295.3-13,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
Musca DN Complex,186.75,-71.56667,180,180,180,1,,[DB2002b] G300.98-8.78,,DARK_NEBULA_COMPLEX,Dutra and Bica (2002b),
IREC 456,297.45417,-81.24278,180,180,180,1,,[DB2002b] G312.63-29,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DIR 327-30,296.30417,-68.70722,180,180,180,1,,[DB2002b] G327-30,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
Lupus IV,240.75,-41.95028,180,180,180,1,,[DB2002b] G336.79+7.99,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
IREC 487,309.27083,-58.95694,180,180,180,1,,[DB2002b] G338-36.5,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
Aries Molecular Cloud,43.75,20,300,300,300,1,0,Aries Cloud,,MOLECULAR_CLOUD,,
Bootes Void,222.5,46,1200,1200,1200,1,0,Bootes Void,,VOID,,
Camelopardalis Cloud,52.5,59,600,600,600,1,,Cam Dark Cloud,,MOLECULAR_CLOUD,,
Centaurus Supercluster,195,-32,2400,2400,2400,1,,Centaurus Supercluster,,SUPERCLUSTER_OF_GALAXIES,,
Cygnus OB2 Association,308.25,41.3,120,120,120,1,,Cygnus OB2,,OB_ASSOC,,
Cygnus Superbubble,307.5,41,900,900,900,1,,Cygnus X Region,,SUPERBUBBLE,,
Eridanus Superbubble,67.5,-15,1200,1200,1200,1,,Orion-Eridanus Superbubble,,SUPERBUBBLE,,
Eridanus Supervoid,48.75,-19.58,600,600,600,1,,CMB Cold Spot,,VOID,,
Galactic Center,266.25,-29,0,0,0,1,0,Sagittarius A,,GALACTIC_CENTER,,
Great Attractor,243.75,-60.9,1200,1200,1200,1,0,Great Attractor,,UNKNOWN,,
Great Rift,292.5,10,4800,4800,600,8,60,Dark Rift,,DARK_NEBULA,,
Gould’s Belt (center),24.63,48.13,0,0,0,0,0,Cas-Tau OB association (center),,PART_OF_GALAXY,,
Gum Nebula,136,-45,2400,2400,1800,1.33,,Gum 16,,HII_SUPERSHELL,"Gum, 1955",
Hyades (Tidal Radius),67.447,16.948,1200,1200,1200,1,0,"Cl Melotte 25, Cl Collinder 50",,OPEN_CLUSTER,SIMBAD,
Lambda Orionis Ring,83.8,9.9,480,480,480,1,,Sh 2-264,,HII_REGION,Sharpless,
Laniakea,243.8,-60.9,6000,6000,6000,1,,Laniakea Supercluster,,SUPERCLUSTER_OF_GALAXIES,,
Large Magellanic Cloud (LMC),80.8942,-69.7561,322.827,322.827,274.77,1.17,170,Large Magellanic Cloud,,GALAXY,SIMBAD,
Local Void,279.5,18,9000,9000,9000,1,,Local Void,,VOID,,
Loop I,225.3433,-38.7067,4500,4500,3480,1.29,287.24,,,SUPERNOVA_REMNANT_CANDIDATE,"Berkhuijsen, 1971",
North Polar Spur,180,0,6000,6000,1200,5,287.24,,,INTERSTELLAR_MEDIUM_OBJECT,Loop I studies,
Orion Molecular Cloud Complex,85,-5,1200,1200,900,1.33,0,Orion Complex,,MOLECULAR_CLOUD,Dame et al.,
Orion OB1 Association,84,-1,1800,1800,1200,1.5,0,Orion OB1,,OB_ASSOC,Brown et al.,
Orion-Eridanus Superbubble,75,-10,2700,2700,1800,1.5,0,,,SUPERBUBBLE,Heiles et al.,
Perseus Molecular Cloud,53.75,31.2,360,360,120,3,60,Perseus Cloud,,MOLECULAR_CLOUD,,
Perseus OB2 Association,56.25,32,600,600,300,2,60,Perseus OB2,,OB_ASSOC,,
Perseus-Pisces Supercluster,37.5,40,3000,3000,3000,1,0,Perseus-Pisces Supercluster,,SUPERCLUSTER_OF_GALAXIES,,
Sagittarius A*,17.76,-29.01,0,0.000012,0.000006,2,82,Supermassive Black Hole,,BLACK_HOLE,,
Scorpius-Centaurus Association,240,-35,4800,4800,3600,1.33,0,Sco-Cen OB Association,,OB_ASSOC,"de Zeeuw et al., 1999",
Shapley Supercluster (core),196.5,-33.0667,192,192,108,1.78,0,Shapley Concentration,,SUPERCLUSTER_OF_GALAXIES,SIMBAD,
Shapley Supercluster,196.5,-33.0667,720,720,480,1.5,0,Shapley Concentration,,SUPERCLUSTER_OF_GALAXIES,SIMBAD,
Small Magellanic Cloud (SMC),13.1583,-72.8003,158,158,93,1.7,45,NGC 292,,GALAXY,,
Virgo Supercluster,187.5,12,6600,6600,6600,1,0,Local Supercluster,,SUPERCLUSTER_OF_GALAXIES,,
