alpha,delta,No,id,diameter
3.3373,65.6062,1,Ced 1,3
5.0953,56.5885,2,Ced 2,
13.3129,56.5934,3,Ced 3,27
14.3654,61.0912,4a,Ced 4a,18
15.0748,60.8395,4b,Ced 4b,11
26.8711,59.7837,5,Ced 5,12
36.7139,62.0684,6a,Ced 6a,6
35.5177,-61.1614,6b,Ced 6b,1
36.7139,62.0684,6c,Ced 6c,27
38.0177,61.4776,7,Ced 7,50
40.9897,63.4265,8,Ced 8,120
42.8303,60.4313,9a,Ced 9a,60
42.9294,58.3138,10,Ced 10,6
43.2362,60.462,9b,Ced 9b,
43.3885,60.4777,9c,Ced 9c,4
43.3908,60.561,9d,Ced 9d,
46.5832,60.6729,11,Ced 11,1
51.345,31.737,12,Ced 12,5
51.4622,30.9361,13,Ced 13,4
52.3967,58.8807,14,Ced 14,30
52.0783,29.8314,15,Ced 15,11
52.3199,31.3796,16,Ced 16,9
52.8506,43.9095,17,Ced 17,
54.738,32.2443,18a,Ced 18a,
54.7142,22.3274,19a,Ced 19a,120
55.4613,21.8215,19b,Ced 19b,135
56.0682,32.2838,18b,Ced 18b,150
56.1421,32.1665,20,Ced 20,10
56.1691,32.333,21,Ced 21,6
56.2114,24.299,19c,Ced 19c,16
56.2347,24.1155,19d,Ced 19d,20
56.3134,24.4815,19e,Ced 19e,21
56.4628,24.3803,19f,Ced 19f,30
56.4848,24.0634,19g,Ced 19g,400
56.4896,24.5634,19h,Ced 19h,15
56.5571,23.7629,19i,Ced 19i,0.5
56.5823,23.7793,19j,Ced 19j,30
56.656,23.6287,19k,Ced 19k,5
56.8611,24.1104,19l,Ced 19l,27
56.8912,24.6269,19m,Ced 19m,
57.0217,22.5591,19n,Ced 19n,
57.2867,24.057,19o,Ced 19o,11
57.3127,24.1568,19p,Ced 19p,
57.5774,25.588,22,Ced 22,
58.2315,23.2993,19q,Ced 19q,
58.4287,32.498,23,Ced 23,
58.3804,25.6815,24,Ced 24,
60.8293,51.3127,25,Ced 25,3
60.8598,36.4114,26,Ced 26,157
61.6589,27.6209,27,Ced 27,
62.3193,30.6487,28,Ced 28,4
63.52,25.9215,29,Ced 29,
64.748,28.2277,30,Ced 30,1
65.4772,28.4546,31,Ced 31,5.5
65.4331,19.5213,32a,Ced 32a,
65.4831,19.5208,32b,Ced 32b,
65.5083,19.5373,32c,Ced 32c,
66.7785,26.0764,33,Ced 33,8
66.8205,22.9925,34,Ced 34,8
67.5663,35.2865,35,Ced 35,12
67.5941,35.4863,36,Ced 36,2
70.1086,50.4481,37,Ced 37,3.5
70.0056,25.7307,38,Ced 38,28
70.7985,27.1902,39,Ced 39,
76.7235,-3.3495,40,Ced 40,8
76.7115,-7.2329,41a,Ced 41a,149
76.7115,-7.2329,41b,Ced 41b,
79.077,34.3134,42,Ced 42,30
80.643,33.5151,43,Ced 43,23
80.4615,8.4321,44,Ced 44,39
81.2915,6.3574,45,Ced 45,40
82.0327,34.4518,46,Ced 46,13
82.2031,12.5656,47,Ced 47,8
82.7504,30.1446,48,Ced 48,
82.8556,34.2439,49,Ced 49,3
83.0045,30.4422,50,Ced 50,
82.8742,12.1592,51,Ced 51,
83.3495,-0.6127,52,Ced 52,6
83.6288,22.019,53,Ced 53,6
83.7772,9.9337,54,Ced 54,30
83.7015,-5.5663,55a,Ced 55a,
83.7596,-4.7335,55b,Ced 55b,
83.8101,-4.684,55c,Ced 55c,
83.8283,-5.3842,55d,Ced 55d,66
83.8586,-4.8345,55e,Ced 55e,42
83.8483,-5.9011,55f,Ced 55f,14
83.8794,-5.268,55g,Ced 55g,
84.3819,32.4291,56,Ced 56,30
84.0438,-1.2027,55h,Ced 55h,50
84.4511,31.995,57,Ced 57,0.7
84.1152,-6.7204,55i,Ced 55i,16
84.2031,-0.2376,55j,Ced 55j,5
84.6367,-7.0754,55k,Ced 55k,11
85.0663,-1.4626,55l,Ced 55l,5
85.241,-1.4977,55m,Ced 55m,8
85.2571,-2.4145,55n,Ced 55n,60
85.4089,-2.2327,55o,Ced 55o,10
85.4626,-1.8498,55p,Ced 55p,31
85.733,-2.3191,55q,Ced 55q,4.5
86.2576,12.8932,58,Ced 58,
86.3442,9.0755,59,Ced 59,
86.3003,2.0422,55r,Ced 55r,
86.5804,-0.0106,55s,Ced 55s,11.5
86.6316,0.1056,55t,Ced 55t,7.5
86.6811,0.0551,55u,Ced 55u,8
86.7835,0.3041,55v,Ced 55v,4.5
89.1539,32.0328,60,Ced 60,60
91.1337,30.4968,61,Ced 61,3
91.9191,18.6885,62,Ced 62,2
91.8934,-6.3958,63,Ced 63,1
92.1884,15.8024,64,Ced 64,
92.02,-6.2304,65,Ced 65,6
92.0187,-6.3637,66,Ced 66,3
92.4137,20.4838,67a,Ced 67a,29
92.463,20.4166,67b,Ced 67b,
92.369,-6.3338,68,Ced 68,3
92.7152,20.6142,67c,Ced 67c,4
92.6953,-6.2036,69,Ced 69,1
92.7703,-6.2043,70,Ced 70,2.5
92.9458,-6.156,71,Ced 71,1
93.3113,17.9749,72,Ced 72,1
94.4893,22.7804,73,Ced 73,27.5
95.12,23.291,74,Ced 74,5.5
95.7058,5.1344,75,Ced 75,3
97.6549,5.0489,76a,Ced 76a,
97.733,10.4484,77,Ced 77,5
97.8036,10.0144,78,Ced 78,22.5
98.0787,4.9281,76b,Ced 76b,64
98.1029,7.4114,79,Ced 79,
98.18,10.1607,80,Ced 80,5
98.2817,10.3264,81,Ced 81,4
99.3403,6.1327,82,Ced 82,
99.7906,8.7285,83,Ced 83,
100.0849,8.159,84a,Ced 84a,
100.2519,9.8908,84b,Ced 84b,60
100.4923,6.355,85,Ced 85,
101.3756,9.7801,84c,Ced 84c,
101.4765,-18.2055,86,Ced 86,
101.7189,1.3264,87,Ced 87,3
102.8062,12.9166,88,Ced 88,
105.9217,-11.5473,89a,Ced 89a,
106.024,-11.3149,89b,Ced 89b,
106.2802,-10.7006,89c,Ced 89c,16.5
106.3143,-12.3343,90,Ced 90,10.5
106.3993,-8.7183,91,Ced 91,
106.4557,-10.6522,89d,Ced 89d,
107.1661,-4.3252,92,Ced 92,
107.3342,-10.3437,89e,Ced 89e,
107.3534,-18.4776,93,Ced 93,8
109.3333,-13.1624,94a,Ced 94a,
109.3828,-13.2128,94b,Ced 94b,8
109.6618,-24.9659,95,Ced 95,
109.8975,-24.0347,96a,Ced 96a,5.5
109.9472,-24.0685,96b,Ced 96b,5
110.0219,-24.1025,96c,Ced 96c,5.5
110.3248,-8.8713,97,Ced 97,
111.0143,-29.2952,98,Ced 98,
111.1803,-16.1961,99,Ced 99,
112.4623,-23.0247,100,Ced 100,10
114.1155,-25.3229,101,Ced 101,15
115.9539,-28.956,102,Ced 102,
118.1122,-26.3913,103,Ced 103,4.5
122.3958,-47.3452,104,Ced 104,
124.5585,-37.1288,105,Ced 105,
127.2754,-44.1673,106a,Ced 106a,33
127.265,-47.9341,106b,Ced 106b,
127.3424,-44.7179,106c,Ced 106c,27
127.4141,-41.5183,106d,Ced 106d,14.5
127.4272,-44.1018,106e,Ced 106e,
127.7945,-47.8716,106f,Ced 106f,
128.354,-44.3423,106g,Ced 106g,
128.8835,-40.6461,106h,Ced 106h,
129.5795,-43.0682,106i,Ced 106i,18
130.1548,-46.656,106j,Ced 106j,11.5
130.2954,-47.3071,106k,Ced 106k,
130.476,-45.4084,106l,Ced 106l,18
130.8098,-48.1777,106m,Ced 106m,
131.1625,-41.2799,106n,Ced 106n,16
131.4983,-46.0326,106o,Ced 106o,22
154.1908,-57.9661,107,Ced 107,
159.3551,-58.6195,108,Ced 108,15.5
161.2709,-59.6592,109a,Ced 109a,120
165.3234,-60.7208,109b,Ced 109b,
166.4479,-77.3406,110,Ced 110,
167.0061,-77.6586,111,Ced 111,
167.4426,-76.6095,112,Ced 112,2
167.9612,-61.3769,113a,Ced 113a,
167.9625,-61.2269,113b,Ced 113b,
167.9872,-61.3103,113c,Ced 113c,
168.0384,-61.2771,113d,Ced 113d,
168.0644,-61.2105,113e,Ced 113e,
168.1139,-61.3606,113f,Ced 113f,
171.9887,-59.9507,114,Ced 114,
172.0969,-62.9842,115,Ced 115,5
172.2265,-62.6511,116,Ced 116,15.5
172.6008,-63.8182,117,Ced 117,8
173.9561,-63.0199,118,Ced 118,66
174.0922,-61.27,119,Ced 119,0.3
176.5217,-56.3722,120,Ced 120,
177.594,-64.8895,121,Ced 121,0.5
201.1735,-64.0222,122,Ced 122,150
203.3525,-65.9646,123,Ced 123,3
234.6867,-29.778,124,Ced 124,
237.7547,-25.7533,125a,Ced 125a,67
238.4021,-25.3313,125b,Ced 125b,34
238.4695,-24.5474,125c,Ced 125c,47
239.2196,-29.2081,126,Ced 126,
239.7134,-26.1205,125d,Ced 125d,
240.0791,-22.6173,125e,Ced 125e,
243.0658,-27.9256,127,Ced 127,23
243.0038,-19.4591,128,Ced 128,195
244.7642,-20.2272,129a,Ced 129a,15
245.0127,-20.0417,129b,Ced 129b,22
245.1387,-20.1239,129c,Ced 129c,22
245.2954,-25.5894,130,Ced 130,130
246.3604,-24.4633,131a,Ced 131a,
246.3997,-23.4463,131b,Ced 131b,124
247.3588,-26.4379,132,Ced 132,126
247.4949,-25.1533,133,Ced 133,30
247.7803,-26.0508,134,Ced 134,60
248.4271,-48.0965,135a,Ced 135a,
248.5034,-48.1458,135b,Ced 135b,
249.9272,-49.0164,136a,Ced 136a,
250.3235,-48.7627,136b,Ced 136b,19
254.25,-40.3333,137,Ced 137,83
253.0795,-41.8536,137a,Ced 137a,18
253.2073,-40.4689,137b,Ced 137b,34
255.998,-37.8427,138,Ced 138,
258.4414,-37.103,139,Ced 139,2
260.1037,-36.0704,140,Ced 140,
260.1482,-30.1529,141,Ced 141,
261.1783,-34.1933,142,Ced 142,4
261.3474,-29.9915,143,Ced 143,
261.7989,-7.0859,144,Ced 144,
263.3981,-37.1056,145,Ced 145,10
263.1798,-17.5231,146,Ced 146,
263.6586,-32.5861,147,Ced 147,
263.5594,-17.9362,148,Ced 148,
264.6511,-23.9093,149,Ced 149,1.5
266.1514,-33.7454,150,Ced 150,7
270.6677,-23.0342,151,Ced 151,29
270.9333,-24.3817,152a,Ced 152a,90
272.0024,-23.8713,152b,Ced 152b,4.5
272.0554,-26.2376,153,Ced 153,
272.0723,-23.4373,154a,Ced 154a,
272.2723,-23.4353,154b,Ced 154b,
272.3289,-24.0015,154c,Ced 154c,
272.45,-23.6669,154d,Ced 154d,9
272.4519,-23.8336,154e,Ced 154e,9.5
272.4802,-24.1167,154f,Ced 154f,8
271.8327,45.8477,155,Ced 155,
273.8166,-20.7368,156,Ced 156,
274.0811,-19.7842,157a,Ced 157a,5
274.198,-16.7163,158,Ced 158,
274.2571,-19.8825,157b,Ced 157b,3.5
274.3305,-19.7318,157c,Ced 157c,4
274.4047,-19.6644,157d,Ced 157d,16.5
274.7173,-13.7777,159,Ced 159,35
274.9155,-16.0093,160a,Ced 160a,6.5
275.0405,-16.008,160b,Ced 160b,6.5
275.1922,-16.1733,161,Ced 161,46
276.4658,-18.4277,162,Ced 162,
277.8616,-10.7972,163,Ced 163,44
282.2259,0.5785,164,Ced 164,
285.2643,-37.0613,165a,Ced 165a,
285.4115,-36.8933,165b,Ced 165b,
285.4871,-36.9425,165c,Ced 165c,
286.9161,4.3396,166,Ced 166,1
291.539,22.7496,167,Ced 167,6.5
292.6124,18.1924,168,Ced 168,6.5
294.8202,20.2122,169,Ced 169,2
295.6172,23.0861,170,Ced 170,0.5
295.6949,27.5036,171,Ced 171,
299.6524,29.9379,172,Ced 172,
299.9899,35.2744,173,Ced 173,15.5
299.967,37.0409,174,Ced 174,
301.1893,29.2508,175a,Ced 175a,1
301.1893,29.2508,175b,Ced 175b,1
301.1893,29.2508,175c,Ced 175c,0.5
302.2136,39.7932,176a,Ced 176a,
302.3535,36.8442,177,Ced 177,
302.5026,34.962,178,Ced 178,
318.1848,38.5118,179,Ced 179,18
318.2147,40.3787,176b,Ced 176b,
319.0777,41.9177,176c,Ced 176c,24.5
321.1612,42.3974,176d,Ced 176d,6
321.2861,42.4815,176e,Ced 176e,4
322.193,40.0536,176f,Ced 176f,10
322.826,37.0406,180,Ced 180,
323.5904,45.7621,181,Ced 181,9
326.4714,30.8279,182a,Ced 182a,70
327.0572,44.4647,183a,Ced 183a,
327.5795,42.6341,183b,Ced 183b,43
327.8384,44.4688,183c,Ced 183c,85
327.749,56.9021,184,Ced 184,10
329.1527,31.792,182b,Ced 182b,73
329.0919,47.5086,185,Ced 185,9
329.3571,31.3096,182c,Ced 182c,
329.8047,44.4121,183d,Ced 183d,120
330.2901,54.6481,186,Ced 186,15
315.4634,68.1625,187,Ced 187,18
332.7811,46.9429,188,Ced 188,
333.176,47.8447,189,Ced 189,2
333.1673,60.0783,190,Ced 190,100
334.5352,58.6675,191,Ced 191,15.5
335.9475,55.5232,192,Ced 192,
338.3342,-0.6515,193,Ced 193,75
339.5404,68.2536,194,Ced 194,8
339.9521,57.5214,195a,Ced 195a,180
340.811,57.8076,195b,Ced 195b,150
341.0424,66.1752,196,Ced 196,7.5
341.2138,53.0088,197,Ced 197,
343.5054,47.3323,198,Ced 198,12
332.8742,59.427,199,Ced 199,
333.2919,55.312,200,Ced 200,
333.3631,70.2464,201,Ced 201,11.5
334.1182,54.0489,202,Ced 202,
334.2421,56.1829,203,Ced 203,30
334.606,63.218,204,Ced 204,
337.2779,58.4118,205,Ced 205,
341.7487,57.8772,206,Ced 206,18
344.2318,62.7345,207,Ced 207,
346.2941,60.2397,208,Ced 208,15
348.3925,61.511,209,Ced 209,10
350.1755,61.1977,210,Ced 210,15.5
355.9436,-15.2783,211,Ced 211,1.5
356.2433,69.7552,212,Ced 212,3
359.4154,52.79,213,Ced 213,30
0.6051,67.1568,214a,Ced 214a,16
1.1677,67.1568,214b,Ced 214b,25
1.1942,68.5568,215,Ced 215,60
